id_demanda,Z,t_min
111869,3755,136.73666666666668
662844,4227,100.63333333333334
221897,4399,93.71499999999999
233228,3987,138.84
531166,4193,90.96833333333333
231686,4254,93.71499999999999
679259,3937,105.765
237594,3970,147.515
623135,3994,106.195
530858,4431,189.54
623464,4145,154.685
211861,4001,137.89333333333335
242250,3883,126.13333333333334
619631,3714,114.88666666666667
222924,4111,138.86666666666667
238108,4193,185.13833333333332
124033,4379,183.93666666666667
226078,4273,143.37
518074,4448,179.92000000000002
133120,3487,109.21499999999999
220188,4085,159.75666666666666
226795,3510,112.86333333333333
239937,4097,183.81166666666667
233453,3794,119.57833333333333
548613,3088,97.01166666666667
550555,4373,189.79833333333332
529760,4245,159.75666666666666
662866,4140,135.90833333333333
538409,4576,192.2133333333333
680993,4258,135.90833333333333
680417,3790,118.36
532824,3741,115.66333333333334
239202,4111,153.33666666666667
544294,4494,162.02166666666665
221577,4137,154.67999999999998
124760,4216,183.86166666666668
123448,4269,178.54500000000002
680992,4534,194.14833333333334
111977,4418,184.08666666666667
242580,4246,139.32333333333332
540417,3972,138.22333333333333
129305,4141,183.81166666666667
540777,4547,165.855
544926,3943,116.8
222648,4179,134.14666666666668
221965,4052,137.95166666666668
226373,4281,157.84833333333333
662855,4403,157.84833333333333
551124,4273,159.75666666666666
547501,4132,126.21333333333334
116554,3422,111.42333333333333
619221,3985,125.75
240012,3543,136.40666666666667
528261,3544,112.67666666666668
237215,4505,186.19666666666666
114634,4275,156.69166666666666
662869,3782,116.68833333333333
524362,4143,137.70833333333334
212447,4463,161.16666666666666
524431,4447,195.02833333333334
547336,3937,125.45833333333333
237999,4096,142.52333333333334
215651,3862,21.220000000000002
127946,3256,12.773333333333333
243437,4119,46.041666666666664
683015,2541,3.0966666666666667
548161,3001,11.186666666666667
227506,2384,9.28
548124,2711,4.805000000000001
246494,2743,2.1016666666666666
226209,4036,40.66833333333333
217536,4018,40.748333333333335
117426,2513,12.101666666666667
231738,2350,12.443333333333333
686069,2458,5.955
533676,2826,4.0183333333333335
655465,2615,1.1849999999999998
120159,3351,20.208333333333332
683798,2652,0.9966666666666666
674156,2401,19.30666666666667
121284,2480,6.126666666666667
213016,2786,3.9516666666666667
653631,2729,2.105
233402,3956,34.833333333333336
564106,2678,1.9166666666666667
625753,2508,4.681666666666667
662878,3688,31.44333333333333
611468,2543,3.375
682222,3429,102.61833333333334
542680,2816,127.04833333333333
612850,3495,141.105
545217,2607,131.9
547298,3059,182.70666666666665
680994,1875,184.255
686073,3742,198.785
132177,3247,135.575
662884,3777,144.89833333333334
652473,3408,103.28666666666666
662906,4022,120.64166666666667
241530,3596,195.04833333333332
512652,3827,119.01333333333334
549683,3527,196.44666666666666
244061,3416,108.29166666666667
530315,3003,20.256666666666668
662914,3842,41.025
662915,3907,51.125
310308,2853,17.81
127569,3254,29.453333333333333
545530,3015,24.408333333333335
239005,3111,33.47666666666667
525432,3095,24.540000000000003
121773,2975,20.916666666666668
110886,3088,25.551666666666666
513246,3143,30.795
122363,2822,11.431666666666667
231831,3548,26.81
662921,3294,20.971666666666668
662920,3551,27.711666666666666
612619,2989,16.25
656723,3677,32.06666666666667
610756,3551,28.413333333333334
615425,2892,10.568333333333333
213172,3122,31.71833333333333
619118,2858,22.56833333333333
516985,2502,10.043333333333333
543541,2497,7.6899999999999995
243223,2901,16.845000000000002
543459,3837,33.861666666666665
123486,4069,41.02833333333333
240461,4030,36.375
662923,2563,22.326666666666664
530754,2231,21.290000000000003
123805,2344,19.185
546866,2662,10.593333333333334
686076,2620,7.026666666666667
131499,3601,26.916666666666668
515268,2784,14.353333333333333
654004,3303,15.34
511214,2354,21.711666666666666
122168,2455,11.74
232389,2213,14.668333333333333
125661,3461,22.811666666666667
217868,2297,19.188333333333333
535912,3499,72.49166666666666
212661,3779,70.36166666666666
516235,3924,79.55333333333333
537547,3143,45.3
111656,3303,84.46833333333333
682837,2600,86.84333333333333
123587,3665,81.08500000000001
533694,2549,67.26166666666667
241000,3781,74.70666666666666
528202,3630,53.305
229966,4003,59.098333333333336
547774,3847,62.07
536564,3361,89.61999999999999
242337,3905,89.635
234677,4025,82.05666666666666
240812,3894,71.40333333333334
221903,3853,91.855
662582,3463,82.685
226437,3661,89.4
239795,3883,65.02
123990,3394,49.65
545421,3347,87.58333333333333
521109,3889,72.455
548640,1183,26.46833333333333
521255,1602,33.58
546049,1197,27.001666666666665
662874,3724,76.20333333333333
241673,3664,85.10333333333332
233003,3677,124.25500000000001
213732,3703,93.2
623587,1043,9.316666666666666
232842,583,1.6483333333333334
656852,1552,28.366666666666667
550042,2962,78.76833333333335
240909,3810,124.25500000000001
674161,3918,88.68166666666666
514537,1245,11.913333333333332
216351,1129,21.478333333333335
674667,3385,85.99499999999999
519042,1140,83.07333333333332
